"id";"name"
1;"пошив изделий"
2;"Пользователь ПК"
3;"Работа в команде"
4;"Креативность"
5;"Умение планировать"
6;"Организаторские навыки"
7;"Навыки межличностного общения"
8;"Обучение и развитие"
9;"Деловое общение"
10;"Умение работать в коллективе"
11;"Организаторские навыки"
12;"Организация мероприятий"
13;"Деловая коммуникация"
14;"Организационные навыки"
15;"Event Management"
16;"Финансовый контроль"
17;"Финансовый анализ"
18;"Управленческая отчетность"
19;"Бюджетирование"
20;"Стратегическое мышление"
21;"Формирование бюджета"
22;"Лидерство"
23;"ВЭД"
24;"Планирование"
25;"Бухгалтерский учет"
26;"Управление эффективностью"
27;"Финансовое моделирование"
28;"Экономический анализ"
29;"1С: Управление Производственным Предприятием"
30;"Стратегическое планирование"
31;"Анализ финансовых показателей"
32;"Бизнес-планирование"
33;"Управленческий учет"
34;"Оптимизация бизнес-процессов"
35;"Консолидация финансовой отчетности"
36;"Долгосрочное бюджетирование и планирование"
37;"Стратегический анализ"
38;"ERP Systems"
39;"Формирование управленческой отчетности"
40;"Оптимизация затрат"
41;"Стратегирование и целеполагание"
42;"Управление проектами и задачами"
43;"Найм, обучение и развитие людей"
44;"Командообразование"
45;"Общая психология"
46;"Психология"
47;"Ремонтные работы"
48;"Электротехнические работы"
49;"Чтение чертежей"
50;"Монтаж оборудования"
51;"Техническое обслуживание"
52;"Работа с чертежами"
53;"Контроль исправности оборудования"
54;"Сборочное производство"
55;"Знание устройства автомобиля"
56;"Эксплуатация автомобиля представительского класса"
57;"Навигационные системы"
58;"Безопасное маневрирование"
59;"Работа в команде"
60;"Работа в условиях многозадачности"
61;"опыт работы на мероприятиях"
62;"Пунктуальность"
63;"Работа на выставках"
64;"Организация мероприятий"
65;"Организаторские навыки"
66;"Маркетинговое планирование"
67;"Деловая переписка"
68;"Эксплуатация автомобиля представительского класса"
69;"Правила дорожного движения"
70;"Пассажирские перевозки"
71;"Выявление потребностей"
72;"Грамотная устная речь"
73;"Прямые продажи"
74;"Консультирование клиентов"
75;"Клиентоориентированность"
76;"Работа с возражениями"
77;"Телефонные переговоры"
78;"Деловая переписка"
79;"Теплые продажи"
80;"Холодные продажи"
81;"Ориентация на результат"
82;"пошив изделий"
83;"Пользователь ПК"
84;"Работа в команде"
85;"Креативность"
86;"Умение планировать"
87;"Организаторские навыки"
88;"Навыки межличностного общения"
89;"Обучение и развитие"
90;"Деловое общение"
91;"Умение работать в коллективе"
92;"Организаторские навыки"
93;"Организация мероприятий"
94;"Деловая коммуникация"
95;"Организационные навыки"
96;"Event Management"
97;"Финансовый контроль"
98;"Финансовый анализ"
99;"Управленческая отчетность"
100;"Бюджетирование"
101;"Стратегическое мышление"
102;"Формирование бюджета"
103;"Лидерство"
104;"ВЭД"
105;"Планирование"
106;"Бухгалтерский учет"
107;"Управление эффективностью"
108;"Финансовое моделирование"
109;"Экономический анализ"
110;"1С: Управление Производственным Предприятием"
111;"Стратегическое планирование"
112;"Анализ финансовых показателей"
113;"Бизнес-планирование"
114;"Управленческий учет"
115;"Оптимизация бизнес-процессов"
116;"Консолидация финансовой отчетности"
117;"Долгосрочное бюджетирование и планирование"
118;"Стратегический анализ"
119;"ERP Systems"
120;"Формирование управленческой отчетности"
121;"Оптимизация затрат"
122;"Стратегирование и целеполагание"
123;"Управление проектами и задачами"
124;"Найм, обучение и развитие людей"
125;"Командообразование"
126;"Общая психология"
127;"Психология"
128;"Ремонтные работы"
129;"Электротехнические работы"
130;"Чтение чертежей"
131;"Монтаж оборудования"
132;"Техническое обслуживание"
133;"Работа с чертежами"
134;"Контроль исправности оборудования"
135;"Сборочное производство"
136;"Знание устройства автомобиля"
137;"Эксплуатация автомобиля представительского класса"
138;"Навигационные системы"
139;"Безопасное маневрирование"
140;"Работа в команде"
141;"Работа в условиях многозадачности"
142;"опыт работы на мероприятиях"
143;"Пунктуальность"
144;"Работа на выставках"
145;"Организация мероприятий"
146;"пошив изделий"
147;"Пользователь ПК"
148;"Работа в команде"
149;"Креативность"
150;"Умение планировать"
151;"Организаторские навыки"
152;"Навыки межличностного общения"
153;"Обучение и развитие"
154;"Деловое общение"
155;"Умение работать в коллективе"
156;"Организаторские навыки"
157;"Организация мероприятий"
158;"Деловая коммуникация"
159;"Организационные навыки"
160;"Event Management"
161;"Финансовый контроль"
162;"Финансовый анализ"
163;"Управленческая отчетность"
164;"Бюджетирование"
165;"Стратегическое мышление"
166;"Формирование бюджета"
167;"Лидерство"
168;"ВЭД"
169;"Планирование"
170;"Бухгалтерский учет"
171;"Управление эффективностью"
172;"Финансовое моделирование"
173;"Экономический анализ"
174;"1С: Управление Производственным Предприятием"
175;"Стратегическое планирование"
176;"Анализ финансовых показателей"
177;"Бизнес-планирование"
178;"Управленческий учет"
179;"Оптимизация бизнес-процессов"
180;"Консолидация финансовой отчетности"
181;"Долгосрочное бюджетирование и планирование"
182;"Стратегический анализ"
183;"ERP Systems"
184;"Формирование управленческой отчетности"
185;"Оптимизация затрат"
186;"Стратегирование и целеполагание"
187;"Управление проектами и задачами"
188;"Найм, обучение и развитие людей"
189;"Командообразование"
190;"Общая психология"
191;"Психология"
192;"Знание устройства автомобиля"
193;"Эксплуатация автомобиля представительского класса"
194;"Навигационные системы"
195;"Безопасное маневрирование"
196;"Ремонтные работы"
197;"Электротехнические работы"
198;"Чтение чертежей"
199;"Монтаж оборудования"
200;"Техническое обслуживание"
201;"Работа с чертежами"
202;"Контроль исправности оборудования"
203;"Сборочное производство"
204;"Работа в команде"
205;"Работа в условиях многозадачности"
206;"опыт работы на мероприятиях"
207;"Пунктуальность"
208;"Работа на выставках"
209;"Организация мероприятий"
210;"Организаторские навыки"
211;"Маркетинговое планирование"
212;"Деловая переписка"
213;"Эксплуатация автомобиля представительского класса"
214;"Правила дорожного движения"
215;"Пассажирские перевозки"
216;"пошив изделий"
217;"Пользователь ПК"
218;"Работа в команде"
219;"Креативность"
220;"Умение планировать"
221;"Организаторские навыки"
222;"Навыки межличностного общения"
223;"Обучение и развитие"
224;"Деловое общение"
225;"Умение работать в коллективе"
226;"Организаторские навыки"
227;"Организация мероприятий"
228;"Деловая коммуникация"
229;"Организационные навыки"
230;"Event Management"
231;"Финансовый контроль"
232;"Финансовый анализ"
233;"Управленческая отчетность"
234;"Бюджетирование"
235;"Стратегическое мышление"
236;"Формирование бюджета"
237;"Лидерство"
238;"ВЭД"
239;"Планирование"
240;"Бухгалтерский учет"
241;"Управление эффективностью"
242;"Финансовое моделирование"
243;"Экономический анализ"
244;"1С: Управление Производственным Предприятием"
245;"Стратегическое планирование"
246;"Анализ финансовых показателей"
247;"Бизнес-планирование"
248;"Управленческий учет"
249;"Оптимизация бизнес-процессов"
250;"Консолидация финансовой отчетности"
251;"Долгосрочное бюджетирование и планирование"
252;"Стратегический анализ"
253;"ERP Systems"
254;"Формирование управленческой отчетности"
255;"Оптимизация затрат"
256;"Стратегирование и целеполагание"
257;"Управление проектами и задачами"
258;"Найм, обучение и развитие людей"
259;"Командообразование"
260;"Общая психология"
261;"Психология"
262;"Знание устройства автомобиля"
263;"Эксплуатация автомобиля представительского класса"
264;"Навигационные системы"
265;"Безопасное маневрирование"
266;"Ремонтные работы"
267;"Электротехнические работы"
268;"Чтение чертежей"
269;"Монтаж оборудования"
270;"Техническое обслуживание"
271;"Работа с чертежами"
272;"Контроль исправности оборудования"
273;"Сборочное производство"
274;"Работа в команде"
275;"Работа в условиях многозадачности"
276;"опыт работы на мероприятиях"
277;"Пунктуальность"
278;"Работа на выставках"
279;"Организация мероприятий"
280;"Эксплуатация автомобиля представительского класса"
281;"Правила дорожного движения"
282;"Пассажирские перевозки"
283;"Организаторские навыки"
284;"Маркетинговое планирование"
285;"Деловая переписка"
286;"Выявление потребностей"
287;"Грамотная устная речь"
288;"Прямые продажи"
289;"Консультирование клиентов"
290;"Клиентоориентированность"
291;"Работа с возражениями"
292;"Телефонные переговоры"
293;"Деловая переписка"
294;"Теплые продажи"
295;"Холодные продажи"
296;"Ориентация на результат"
297;"СЭД"
298;"Внутренний контроль"
299;"Деловая этика"
300;"Электронный документооборот"
301;"Организация движения и учета документов"
302;"Внутренняя документация"
303;"регистрация документации"
304;"Исходящая документация"
305;"Деловая корреспонденция"
306;"Грамотная речь"
307;"Контроль исполнения решений"
308;"Опытный пользователь ПК, знание MS Office"
309;"Делопроизводство"
310;"Складская логистика"
311;"Складской Учет"
312;"Документальное сопровождение"
313;"Складской документооборот"
314;"Организаторские навыки"
315;"Оптимизация логистических процессов"
316;"Работа с ТМЦ"
317;"Приемка груза"
318;"Инвентаризация"
319;"Деловая коммуникация"
320;"1С: Предприятие 8"
321;"Учет поступающих ТМЦ"
322;"Логистический менеджмент"
323;"Управление товарными запасами"
324;"Клиентоориентированность"
325;"Грамотная речь"
326;"Работа в команде"
327;"Активные продажи"
328;"Работа с клиентами"
